# mzPAF annotation of mzspec:PXD019942:20190424_Berkeley_Exp8_Phospho_TMT1_F11:scan:10017:[TMT6plex]-IS[Phospho]DDEEEEEK[TMT6plex]/2
 140 1019.4714    3457.6  a7-HPO3/-1.3ppm
 141 1021.4072    1332.9  ?
 142 1021.4891   41014.1  y6/-3.3ppm
 143 1029.4580   24530.5  b7-H2O-HPO3/-3.5ppm
 144 1047.4669    8378.9  b7-HPO3/-1.9ppm
 145 1091.3979    1056.2  b7-2H2O/11.1ppm
 146 1101.4803    5571.1  ?
 147 1118.5062    5757.4  y7-H2O/-3.9ppm
 148 1119.4919    2781.6  y7-H2O+i/-18.7ppm
 149 1127.4315    1072.0  b7/-0.4ppm
 150 1130.5035   10313.6  a8-H2O-HPO3/-1.5ppm
 151 1136.5162   39314.1  y7/-3.4ppm
 152 1137.5038    1000.2  y7+i/-16.8ppm
 153 1146.4998    2976.0  ?
 154 1148.5135    1363.8  a8-HPO3/-1.0ppm
 155 1158.5005   27517.9  b8-H2O-HPO3/-3.3ppm
 156 1162.4382     957.7  ?
 157 1176.5149    7552.7  b8-HPO3/-6.6ppm
 158 1216.5022    4534.0  ?
 159 1233.5278    1483.1  y8-H2O/0.5ppm
 160 1234.5159    2504.1  y8-H2O+i/-15.3ppm
 161 1251.5413   16579.0  y8/-1.9ppm
 162 1259.5491    7590.3  a9-H2O-HPO3/-4.0ppm
 163 1261.5323    1242.8  ?
 164 1269.5365    3477.4  b9-2H2O-HPO3/-6.4ppm
 165 1275.5304    1281.9  ?
 166 1277.5565    2814.2  a9-HPO3/-1.5ppm
 167 1287.5421   27231.8  b9-H2O-HPO3/-2.5ppm
 168 1302.5555    7407.5  y9-2H2O-HPO3/-4.5ppm
 169 1304.5691    4854.4  ?
 170 1305.5533   22481.6  b9-HPO3/-3.0ppm
 171 1320.5640   38799.8  y9-H2O-HPO3/-2.9ppm
 172 1321.5604    1476.5  y9-H2O-HPO3+i/-8.2ppm
 173 1322.5781    2784.1  y9-H2O-HPO3+2i/2.7ppm
 174 1323.5588    4061.9  y9-H2O-HPO3+3i/-14.5ppm
 175 1330.5427    5044.7  ?
 176 1338.5762   13197.8  y9-HPO3/-4.1ppm
 177 1346.5576    5238.4  ?
 178 1348.5621    5829.7  ?
 179 1352.5760    2544.5  ?
 180 1415.6355    4962.5  p-[TMT6plex]-3H2O-HPO3/-1.5ppm
 181 1433.6473   19180.6  p-[TMT6plex]-2H2O-HPO3/-2.3ppm
 182 1451.6575    5411.7  p-[TMT6plex]-H2O-HPO3/-2.1ppm
 183 1457.6542     869.2  ?
 184 1468.6581    1297.8  p-[TMT131C]-CO-3H2O-H2O-HPO3/-3.1ppm
 185 1469.6516    3369.5  p-[TMT6plex]-HPO3/9.1ppm
 186 1472.6509    1271.0  p-[TMT127C]-CO-3H2O-H2O-HPO3/10.9ppm
 187 1475.6582    3304.9  ?
 188 1486.6774   15573.0  p-[TMT131N]-CO-3H2O-HPO3/-4.7ppm
 189 1487.6625   18946.2  p-[TMT130C]-CO-3H2O-HPO3/3.3ppm
 190 1488.6602    1580.4  p-[TMT129C]-CO-3H2O-HPO3/7.1ppm
 191 1489.6804    8129.5  p-[TMT128C]-CO-3H2O-HPO3/-4.2ppm
 192 1490.6676   12087.5  p-[TMT127C]-CO-3H2O-HPO3/6.6ppm
 193 1503.6909    1027.7  p-[TMT132N]-CO-2H2O-HPO3/-8.9ppm
 194 1504.6864   82615.7  p-[TMT131N]-CO-2H2O-HPO3/-3.7ppm
 195 1505.6805   35599.1  p-[TMT130C]-CO-2H2O-HPO3/-1.7ppm
 196 1506.6829    7597.6  p-[TMT129C]-CO-2H2O-HPO3/-1.1ppm
 197 1507.6937   37023.6  p-[TMT128N]-CO-2H2O-HPO3/-1.8ppm
 198 1508.6879   18468.1  p-[TMT127C]-CO-2H2O-HPO3/0.0ppm
 199 1522.6967   23103.4  p-[TMT131N]-CO-H2O-HPO3/-3.5ppm
 200 1523.6908    5765.3  p-[TMT130C]-CO-H2O-HPO3/-1.6ppm
 201 1525.7064    8167.6  p-[TMT128N]-CO-H2O-HPO3/-3.3ppm
 202 1526.6962    5807.0  p-[TMT127C]-CO-H2O-HPO3/1.5ppm
 203 1532.6705     957.8  ?
 204 1564.0702     908.6  ?
